index,Neighborhood,Businesses,Debt Risk Score,Walk Score,Population,Average Income,Latitude,Longitude,Number of Cafes,Number of Parks/Playgrounds
1,"Thistletown-Beaumond Heights, Toronto",217,718,54,16790,28955,43.737221999999996,-79.565278,0,0
2,"Kingsview Village-The Westway, Toronto",160,717,56,16254,32004,43.694444,-79.558611,0,0
3,"Willowridge-Martingrove-Richview, Toronto",169,750,51,26053,34579,43.677222,-79.550833,1,0
5,"Eringate-Centennial-West Deane, Toronto",229,775,57,8008,34789,43.661383,-79.57072,,
6,"Markland Wood, Toronto",106,783,69,10240,51695,43.63123865,-79.58543401986114,0,1
7,"Mimico, Toronto",619,741,71,14198,47011,43.6166773,-79.4968048,0,0
8,"New Toronto, Toronto",368,719,79,10455,33415,43.6007625,-79.505264,2,0
9,"Long Branch, Toronto",170,724,72,9625,37288,43.59200455,-79.54536450659592,1,1
10,"Alderwood, Toronto",309,764,70,11656,35239,43.6017173,-79.5452325,0,0
11,"Humber Summit, Toronto",1373,715,61,12766,26117,43.7600778,-79.5717598,0,1
12,"Humbermede, Toronto",374,695,58,14778,24297,43.746297,-79.541186,0,0
13,"Pelmo Park-Humberlea, Toronto",152,735,57,4402,32002,43.7121949,-79.51755639837398,0,1
14,"Downsview-Roding-CFB, Toronto",985,692,59,36613,26751,43.732222,-79.49333299999999,0,0
15,"York University Heights, Toronto",2643,698,60,26140,24432,43.7587808,-79.5194336,0,0
16,"Maple Leaf, Toronto",47,721,66,20313,27611,43.7122767,-79.4901977,0,0
17,"Brookhaven-Amesbury, Toronto",466,687,62,17318,27546,43.700556,-79.490278,0,0
18,"Yorkdale-Glen Park, Toronto",1468,729,72,18426,35022,43.7064433,-79.4526856,0,0
19,"Bathurst Manor, Toronto",244,745,61,14945,34169,43.76389295,-79.45636693710946,0,1
20,"Westminster-Branson, Toronto",83,730,61,16386,27826,43.656000000000006,-79.475,0,0
21,"Lansing-Westgate, Toronto",488,758,77,10052,46631,43.7589503,-79.4225555,0,0
22,"Bedford Park-Nortown, Toronto",676,776,73,13749,80827,43.73,-79.411,0,0
23,"Bridle Path-Sunnybrook-York Mills, Toronto",58,788,58,17564,92099,43.721111,-79.377778,0,1
24,"Banbury-Don Mills, Toronto",834,776,67,21372,47515,43.7348039,-79.3572426,0,1
25,"Victoria Village, Toronto",431,730,71,17047,29657,43.732658,-79.3111892,0,0
26,"Flemingdon Park, Toronto",185,721,63,21287,23471,43.7184315,-79.333204,1,0
27,"Parkwoods-Donalda, Toronto",209,731,63,26533,34811,43.751000000000005,-79.32300000000001,0,1
28,"Pleasant View, Toronto",124,767,66,16615,29250,43.787048,-79.3337137,0,1
29,"Don Valley Village, Toronto",373,756,79,29740,30442,43.7926732,-79.3547219,0,1
30,"Bayview Woods-Steeles, Toronto",93,777,57,24696,26660,43.7981268,-79.3829726,0,1
31,"Bayview Village, Toronto",460,768,71,12280,46752,43.7691966,-79.3766617,0,0
32,"Henry Farm, Toronto",717,736,76,2790,56395,43.7695089,-79.354296,0,1
33,"Thorncliffe Park, Toronto",449,724,73,17949,25340,43.704553,-79.3454074,0,0
34,"Leaside-Bennington, Toronto",313,791,77,13876,82670,43.7022249,-79.3580119,0,0
35,"Old East York, Toronto",134,756,69,52220,33172,43.6708625,-79.37279241253721,0,1
36,"The Beaches, Toronto",531,764,88,20416,67536,43.6710244,-79.296712,2,2
37,"Playter Estates-Danforth, Toronto",301,757,90,3968,44557,43.678056,-79.355556,2,0
38,"Cabbagetown-South St.James Town, Toronto",290,744,91,11120,50398,43.6664,-79.3629,1,2
39,"Regent Park, Toronto",143,701,88,10387,19521,43.6607056,-79.3604569,0,1
40,"Bay Street Corridor, Toronto",4324,755,99,4787,40598,43.6644565,-79.3871893,2,1
41,"Palmerston-Little Italy, Toronto",521,742,95,7917,31231,43.6600648,-79.4118056,2,1
42,"Niagara, Toronto",591,747,84,6524,44611,43.6440753,-79.4086982,2,0
43,"Dufferin Grove, Toronto",375,721,90,9875,27961,43.6536319,-79.4264389,1,0
44,"Little Portugal, Toronto",344,727,88,5013,29224,43.64741325,-79.43111632546047,4,1
45,"Roncesvalles, Toronto",540,741,91,15996,46820,43.6514426,-79.4510381,3,0
46,"High Park-Swansea, Toronto",448,770,79,11133,58681,43.638093,-79.4665843,0,4
47,"High Park North, Toronto",254,759,84,22746,46437,43.6573833,-79.470961,0,2
48,"Runnymede-Bloor West Village, Toronto",334,777,81,4382,42635,43.6517026,-79.4759978,4,0
49,"Weston-Pellam Park, Toronto",178,698,75,16476,27446,43.672,-79.457,0,1
50,"Corso Italia-Davenport, Toronto",420,708,79,8781,28335,43.677954,-79.4430828,1,0
51,"Dovercourt-Wallace Emerson-Juncti, Toronto",890,719,88,10338,25029,43.665,-79.432,2,1
52,"Wychwood, Toronto",379,745,86,4182,53613,43.682121699999996,-79.42383883756801,2,0
53,"Casa Loma, Toronto",258,771,80,3597,82203,43.6781015,-79.409415775,2,0
54,"Rosedale-Moore Park, Toronto",683,777,84,7672,213941,43.6903876,-79.3832965,0,0
55,"Caledonia-Fairbank, Toronto",92,700,69,34121,28403,43.6867527,-79.4595746,0,1
56,"Weston, Toronto",536,679,73,16476,27446,43.7001608,-79.5162474,1,1
57,"Mount Dennis, Toronto",184,680,59,21284,23910,43.6869597,-79.4895513,0,0
58,"Steeles, Toronto",237,778,61,24696,26660,43.8161778,-79.3145378,0,0
59,"L'Amoreaux, Toronto",443,758,65,45862,26375,43.799003,-79.3059669,0,0
60,"Clairlea-Birchmount, Toronto",831,741,69,11104,33392,43.709722,-79.29083299999999,0,0
61,"Oakridge, Toronto",201,704,71,13368,21155,43.6971738,-79.2748232,0,1
62,"Birchcliffe-Cliffside, Toronto",345,747,71,9386,32701,43.711110999999995,-79.248056,0,0
63,"Cliffcrest, Toronto",200,748,54,14531,38182,43.7219387,-79.2362324,0,0
64,"Ionview, Toronto",148,712,70,13025,25078,43.7359904,-79.2765146,0,1
65,"Dorset Park, Toronto",969,727,68,14189,26525,43.7528467,-79.282067,0,0
66,"Bendale, Toronto",853,738,64,28945,29723,43.7535196,-79.2553355,0,0
67,"Milliken, Toronto",2090,770,65,26272,25243,43.8231743,-79.3017626,0,0
68,"Rouge, Toronto",877,738,42,22724,29230,43.8049304,-79.1658374,0,1
69,"Malvern, Toronto",625,724,61,44324,25677,43.8091955,-79.2217008,0,1
70,"Highland Creek, Toronto",91,751,54,12853,33640,43.7901172,-79.1733344,0,1
71,"Morningside, Toronto",108,711,53,11472,27139,43.7826012,-79.2049579,1,2
72,"West Hill, Toronto",424,706,66,25632,27936,43.7689144,-79.1872905,0,0
73,"Woburn, Toronto",1073,723,66,48507,26190,43.7598243,-79.2252908,0,0
74,"Eglinton East, Toronto",296,705,62,22387,25307,43.7394646,-79.2320997,0,0
75,"Scarborough Village, Toronto",228,699,70,12796,24413,43.7437422,-79.2116324,0,0
76,"Guildwood, Toronto",67,774,59,12820,40806,43.7552251,-79.1982293,0,0
